category,type,state,percent
Mental_and_behavioural_conditions,long_term_health_condition,WA,27.0
Mental_and_behavioural_conditions,long_term_health_condition,Tas,29.5
Mental_and_behavioural_conditions,long_term_health_condition,NT,21.6
Mental_and_behavioural_conditions,long_term_health_condition,ACT,28.1
Mental_and_behavioural_conditions,long_term_health_condition,Australia,26.1
Osteoporosis,long_term_health_condition,NSW,3.8
Osteoporosis,long_term_health_condition,Vic,2.7
Osteoporosis,long_term_health_condition,Qld,3.5
Osteoporosis,long_term_health_condition,SA,3.0
Osteoporosis,long_term_health_condition,WA,3.0
Osteoporosis,long_term_health_condition,Tas,4.1
Osteoporosis,long_term_health_condition,NT,1.5
Osteoporosis,long_term_health_condition,ACT,4.0
Osteoporosis,long_term_health_condition,Australia,3.4
Exceeded_alcohol_guideline,health_risk_factor,NSW,25.2
Exceeded_alcohol_guideline,health_risk_factor,Vic,24.3
Exceeded_alcohol_guideline,health_risk_factor,Qld,29.4
Exceeded_alcohol_guideline,health_risk_factor,SA,29.3
Exceeded_alcohol_guideline,health_risk_factor,WA,29.9
Exceeded_alcohol_guideline,health_risk_factor,Tas,28.9
Exceeded_alcohol_guideline,health_risk_factor,NT,31.1
Exceeded_alcohol_guideline,health_risk_factor,ACT,27.4
Exceeded_alcohol_guideline,health_risk_factor,Australia,26.8
Did_not_meet_fruit_recommendation,health_risk_factor,NSW,54.2
Did_not_meet_fruit_recommendation,health_risk_factor,Vic,55.3
Did_not_meet_fruit_recommendation,health_risk_factor,Qld,57.1
Did_not_meet_fruit_recommendation,health_risk_factor,SA,58.3
Did_not_meet_fruit_recommendation,health_risk_factor,WA,56.2
Did_not_meet_fruit_recommendation,health_risk_factor,Tas,58.7
Did_not_meet_fruit_recommendation,health_risk_factor,NT,59.9
Did_not_meet_fruit_recommendation,health_risk_factor,ACT,58.6
Did_not_meet_fruit_recommendation,health_risk_factor,Australia,55.8
Did_not_meet_vegetable_recommendation,health_risk_factor,NSW,93.2
Did_not_meet_vegetable_recommendation,health_risk_factor,Vic,93.6
Did_not_meet_vegetable_recommendation,health_risk_factor,Qld,94.9
Did_not_meet_vegetable_recommendation,health_risk_factor,SA,92.2
Did_not_meet_vegetable_recommendation,health_risk_factor,WA,92.3
Did_not_meet_vegetable_recommendation,health_risk_factor,Tas,89.1
Did_not_meet_vegetable_recommendation,health_risk_factor,NT,93.9
Did_not_meet_vegetable_recommendation,health_risk_factor,ACT,92.3
Did_not_meet_vegetable_recommendation,health_risk_factor,Australia,93.5
High_measured_blood_pressure,health_risk_factor,NSW,23.8
High_measured_blood_pressure,health_risk_factor,Vic,23.9
High_measured_blood_pressure,health_risk_factor,Qld,20.0
High_measured_blood_pressure,health_risk_factor,SA,26.9
High_measured_blood_pressure,health_risk_factor,WA,24.2
High_measured_blood_pressure,health_risk_factor,Tas,29.2
High_measured_blood_pressure,health_risk_factor,NT,19.6
High_measured_blood_pressure,health_risk_factor,ACT,22.6
High_measured_blood_pressure,health_risk_factor,Australia,23.3
Current_daily_smoker,health_risk_factor,NSW,10.0
Current_daily_smoker,health_risk_factor,Vic,9.3
Current_daily_smoker,health_risk_factor,Qld,14.0
Current_daily_smoker,health_risk_factor,SA,9.7
Current_daily_smoker,health_risk_factor,WA,10.5
Current_daily_smoker,health_risk_factor,Tas,12.4
Current_daily_smoker,health_risk_factor,NT,13.5
Current_daily_smoker,health_risk_factor,ACT,5.9
Current_daily_smoker,health_risk_factor,Australia,10.6
Current_daily_vaping_use,health_risk_factor,NSW,4.8
Current_daily_vaping_use,health_risk_factor,Vic,3.8
Current_daily_vaping_use,health_risk_factor,Qld,3.3
Current_daily_vaping_use,health_risk_factor,SA,4.4
Current_daily_vaping_use,health_risk_factor,WA,4.2
Current_daily_vaping_use,health_risk_factor,Tas,2.2
Current_daily_vaping_use,health_risk_factor,NT,2.8
Current_daily_vaping_use,health_risk_factor,ACT,3.2
Current_daily_vaping_use,health_risk_factor,Australia,4.0
Increased_waist_circumference,health_risk_factor,NSW,65.5
Increased_waist_circumference,health_risk_factor,Vic,67.0
Increased_waist_circumference,health_risk_factor,Qld,70.3
Increased_waist_circumference,health_risk_factor,SA,69.7
Increased_waist_circumference,health_risk_factor,WA,70.8
Increased_waist_circumference,health_risk_factor,Tas,73.4
Increased_waist_circumference,health_risk_factor,NT,68.4
Increased_waist_circumference,health_risk_factor,ACT,64.0
Increased_waist_circumference,health_risk_factor,Australia,67.9
Overweight_or_obese,health_risk_factor,NSW,63.1
Overweight_or_obese,health_risk_factor,Vic,65.3
Overweight_or_obese,health_risk_factor,Qld,68.8
Overweight_or_obese,health_risk_factor,SA,68.0
Overweight_or_obese,health_risk_factor,WA,68.0
Overweight_or_obese,health_risk_factor,Tas,70.5
Overweight_or_obese,health_risk_factor,NT,63.8
Overweight_or_obese,health_risk_factor,ACT,64.0
Overweight_or_obese,health_risk_factor,Australia,65.8

  source: https://www.abs.gov.au/statistics/health/health-conditions-and-risks/national-health-survey-state-and-territory-findings/latest-release 
